N1 10.1.0.1/16 Tg-eth0
N2 10.2.0.1/16 Tg-eth1
N3 10.3.0.1/16 Tg-eth2
N4 10.4.0.1/16 Tg-eth3
N5 10.5.0.1/16 Tg-eth4
N6 10.6.0.1/16 Tg-eth5
N7 10.7.0.1/16 Tg-eth6
N8 10.8.0.1/16 Tg-eth7
N9 10.9.0.1/16 Tg-eth8
N10 10.10.0.1/16 Tg-eth9
N11 10.11.0.1/16 Tg-eth10
N12 10.12.0.1/16 Tg-eth11
N13 10.13.0.1/16 Tg-eth12
N14 10.14.0.1/16 Tg-eth13
N15 10.15.0.1/16 Tg-eth14
N16 10.16.0.1/16 Tg-eth15
N17 10.17.0.1/16 Tg-eth16
N18 10.18.0.1/16 Tg-eth17
N19 10.19.0.1/16 Tg-eth18
N20 10.20.0.1/16 Tg-eth19
N21 10.21.0.1/16 Tg-eth20
N22 10.22.0.1/16 Tg-eth21
N23 10.23.0.1/16 Tg-eth22
N24 10.24.0.1/16 Tg-eth23
N25 10.25.0.1/16 Tg-eth24
N26 10.26.0.1/16 Tg-eth25
N27 10.27.0.1/16 Tg-eth26
N28 10.28.0.1/16 Tg-eth27
N29 10.29.0.1/16 Tg-eth28
N30 10.30.0.1/16 Tg-eth29
N31 10.31.0.1/16 Tg-eth30
N32 10.32.0.1/16 Tg-eth31
N33 10.33.0.1/16 Tg-eth32
N34 10.34.0.1/16 Tg-eth33
N35 10.35.0.1/16 Tg-eth34
N36 10.36.0.1/16 Tg-eth35
N37 10.37.0.1/16 Tg-eth36
N38 10.38.0.1/16 Tg-eth37
N39 10.39.0.1/16 Tg-eth38
N40 10.40.0.1/16 Tg-eth39
N41 10.41.0.1/16 Tg-eth40
N42 10.42.0.1/16 Tg-eth41
N43 10.43.0.1/16 Tg-eth42
N44 10.44.0.1/16 Tg-eth43
N45 10.45.0.1/16 Tg-eth44
N46 10.46.0.1/16 Tg-eth45
N47 10.47.0.1/16 Tg-eth46
N48 10.48.0.1/16 Tg-eth47
N49 10.49.0.1/16 Tg-eth48
N50 10.50.0.1/16 Tg-eth49
N51 10.51.0.1/16 Tg-eth50
N52 10.52.0.1/16 Tg-eth51
N53 10.53.0.1/16 Tg-eth52
N54 10.54.0.1/16 Tg-eth53
N55 10.55.0.1/16 Tg-eth54
N56 10.56.0.1/16 Tg-eth55
N57 10.57.0.1/16 Tg-eth56
N58 10.58.0.1/16 Tg-eth57
N59 10.59.0.1/16 Tg-eth58
N60 10.60.0.1/16 Tg-eth59
N61 10.61.0.1/16 Tg-eth60
N62 10.62.0.1/16 Tg-eth61
N63 10.63.0.1/16 Tg-eth62
N64 10.64.0.1/16 Tg-eth63
N65 10.65.0.1/16 Tg-eth64
N66 10.66.0.1/16 Tg-eth65
N67 10.67.0.1/16 Tg-eth66
N68 10.68.0.1/16 Tg-eth67
N69 10.69.0.1/16 Tg-eth68
N70 10.70.0.1/16 Tg-eth69
M71 13.0.71.2 00:00:00:00:00:02 M71-eth0
M1 13.0.1.2 00:00:00:00:00:03 M1-eth0
M2 13.0.2.2 00:00:00:00:00:04 M2-eth0
M3 13.0.3.2 00:00:00:00:00:05 M3-eth0
M4 13.0.4.2 00:00:00:00:00:06 M4-eth0
M5 13.0.5.2 00:00:00:00:00:07 M5-eth0
M6 13.0.6.2 00:00:00:00:00:08 M6-eth0
M7 13.0.7.2 00:00:00:00:00:09 M7-eth0
M8 13.0.8.2 00:00:00:00:00:0a M8-eth0
M9 13.0.9.2 00:00:00:00:00:0b M9-eth0
M10 13.0.10.2 00:00:00:00:00:0c M10-eth0
M11 13.0.11.2 00:00:00:00:00:0d M11-eth0
M12 13.0.12.2 00:00:00:00:00:0e M12-eth0
M13 13.0.13.2 00:00:00:00:00:0f M13-eth0
M14 13.0.14.2 00:00:00:00:00:10 M14-eth0
M15 13.0.15.2 00:00:00:00:00:11 M15-eth0
M16 13.0.16.2 00:00:00:00:00:12 M16-eth0
M17 13.0.17.2 00:00:00:00:00:13 M17-eth0
M18 13.0.18.2 00:00:00:00:00:14 M18-eth0
M19 13.0.19.2 00:00:00:00:00:15 M19-eth0
M20 13.0.20.2 00:00:00:00:00:16 M20-eth0
M21 13.0.21.2 00:00:00:00:00:17 M21-eth0
M22 13.0.22.2 00:00:00:00:00:18 M22-eth0
M23 13.0.23.2 00:00:00:00:00:19 M23-eth0
M24 13.0.24.2 00:00:00:00:00:1a M24-eth0
M25 13.0.25.2 00:00:00:00:00:1b M25-eth0
M26 13.0.26.2 00:00:00:00:00:1c M26-eth0
M27 13.0.27.2 00:00:00:00:00:1d M27-eth0
M28 13.0.28.2 00:00:00:00:00:1e M28-eth0
M29 13.0.29.2 00:00:00:00:00:1f M29-eth0
M30 13.0.30.2 00:00:00:00:00:20 M30-eth0
M31 13.0.31.2 00:00:00:00:00:21 M31-eth0
M32 13.0.32.2 00:00:00:00:00:22 M32-eth0
M33 13.0.33.2 00:00:00:00:00:23 M33-eth0
M34 13.0.34.2 00:00:00:00:00:24 M34-eth0
M35 13.0.35.2 00:00:00:00:00:25 M35-eth0
M36 13.0.36.2 00:00:00:00:00:26 M36-eth0
M37 13.0.37.2 00:00:00:00:00:27 M37-eth0
M38 13.0.38.2 00:00:00:00:00:28 M38-eth0
M39 13.0.39.2 00:00:00:00:00:29 M39-eth0
M40 13.0.40.2 00:00:00:00:00:2a M40-eth0
M41 13.0.41.2 00:00:00:00:00:2b M41-eth0
M42 13.0.42.2 00:00:00:00:00:2c M42-eth0
M43 13.0.43.2 00:00:00:00:00:2d M43-eth0
M44 13.0.44.2 00:00:00:00:00:2e M44-eth0
M45 13.0.45.2 00:00:00:00:00:2f M45-eth0
M46 13.0.46.2 00:00:00:00:00:30 M46-eth0
M47 13.0.47.2 00:00:00:00:00:31 M47-eth0
M48 13.0.48.2 00:00:00:00:00:32 M48-eth0
M49 13.0.49.2 00:00:00:00:00:33 M49-eth0
M50 13.0.50.2 00:00:00:00:00:34 M50-eth0
M51 13.0.51.2 00:00:00:00:00:35 M51-eth0
M52 13.0.52.2 00:00:00:00:00:36 M52-eth0
M53 13.0.53.2 00:00:00:00:00:37 M53-eth0
M54 13.0.54.2 00:00:00:00:00:38 M54-eth0
M55 13.0.55.2 00:00:00:00:00:39 M55-eth0
M56 13.0.56.2 00:00:00:00:00:3a M56-eth0
M57 13.0.57.2 00:00:00:00:00:3b M57-eth0
M58 13.0.58.2 00:00:00:00:00:3c M58-eth0
M59 13.0.59.2 00:00:00:00:00:3d M59-eth0
M60 13.0.60.2 00:00:00:00:00:3e M60-eth0
M61 13.0.61.2 00:00:00:00:00:3f M61-eth0
M62 13.0.62.2 00:00:00:00:00:40 M62-eth0
M63 13.0.63.2 00:00:00:00:00:41 M63-eth0
M64 13.0.64.2 00:00:00:00:00:42 M64-eth0
M65 13.0.65.2 00:00:00:00:00:43 M65-eth0
M66 13.0.66.2 00:00:00:00:00:44 M66-eth0
M67 13.0.67.2 00:00:00:00:00:45 M67-eth0
M68 13.0.68.2 00:00:00:00:00:46 M68-eth0
M69 13.0.69.2 00:00:00:00:00:47 M69-eth0
M70 13.0.70.2 00:00:00:00:00:48 M70-eth0
